,,ウェビナータイトル,【矯正のJETシステム開発者 成田先生登壇】矯正をやるだけでは選ばれない時代へ SNSなしで月30件矯正相談を生む医院ブランド戦略,会社,担当者,ステータス,工数,着手スケジュール,期日スケジュール,参考情報
,集客開始,,,,,,,,7月8日,
,一次資料共有,,,,,,,,7月19日,
,ご講演資料FIX,,,,,,,,7月22日,
,開催日,,,,,,,,7月29日,
,大カテゴリ,中カテゴリ,小カテゴリ,会社,担当者,ステータス,工数（日数）,着手スケジュール,期日スケジュール,備考
,企画準備,登壇者確保,登壇者選定,キンダーガーデン,山本,完了,3,6月11日,6月14日,
,企画準備,登壇者確保,登壇者打診,キンダーガーデン,山本,完了,3,6月12日,6月15日,
,企画準備,登壇者確保,企画MTG調整（to登壇者）,キンダーガーデン,山本,完了,1,6月17日,6月18日,60分で調整する
,集客＆ウェビナー配信準備,ZOOM配信準備,ウェビナータイトル作成,キンダーガーデン,山本,完了,2,6月22日,6月24日,
,集客＆ウェビナー配信準備,ZOOM配信準備,コピーチェック（登壇者）,キンダーガーデン,山本,未着手,1,6月25日,6月26日,候補はmax3つ、こちらが推奨するものはハイライト
,コンテンツ企画,対登壇者,企画MTG（Kickoff） SABU/キンダーガーデン/ 登壇者（第1回）,両社,,完了,1,6月28日,6月29日,60分で調整実施するが、30-45分で完了することが多い
,コンテンツ企画,対登壇者,連絡グループの作成,キンダーガーデン,山本,完了,1,6月28日,6月29日,
,集客＆ウェビナー配信準備,集客（メール）,一斉配信リスト更新（前回のウェビナー申し込み者）,キンダーガーデン,山本,未着手,1,,,
,集客＆ウェビナー配信準備,ZOOM配信準備,バナー作成,キンダーガーデン,山本,着手中,5,6月26日,7月1日,
,集客＆ウェビナー配信準備,集客（広告）,Facebook - クリエイティブ作成依頼（バナー・文面）,キンダーガーデン,山本,未着手,2,6月29日,7月1日,
,コンテンツ企画,対登壇者,申込時アンケート項目すり合わせ,キンダーガーデン,山本,未着手,2,6月30日,7月2日,
,集客＆ウェビナー配信準備,ZOOM配信準備,バナーチェック依頼（登壇者）,キンダーガーデン,山本,未着手,2,7月2日,7月4日,
,コンテンツ企画,対登壇者,宣材写真共有依頼,キンダーガーデン,山本,未着手,2,7月4日,7月6日,写真は自撮りでないものを推奨
,集客＆ウェビナー配信準備,ZOOM配信準備,zoomページ作成,キンダーガーデン,山本,未着手,2,7月5日,7月7日,
,集客＆ウェビナー配信準備,ZOOM配信準備,概要文設定,キンダーガーデン,山本,未着手,1,7月6日,7月7日,
,集客＆ウェビナー配信準備,ZOOM配信準備,各招待リンク作成,キンダーガーデン,山本,未着手,1,7月6日,7月7日,
,集客＆ウェビナー配信準備,ZOOM配信準備,招待リンク共有（SABU）,キンダーガーデン,山本,未着手,1,7月6日,7月7日,
,集客＆ウェビナー配信準備,ZOOM配信準備,申込時アンケート項目設定,キンダーガーデン,山本,未着手,1,7月6日,7月7日,
,集客＆ウェビナー配信準備,ZOOM配信準備,プライバシーポリシー（免責事項）設定,キンダーガーデン,山本,未着手,1,7月6日,7月7日,
,集客＆ウェビナー配信準備,ZOOM配信準備,自動メール設定（登録時、リマインダー、出席者・欠席者）,キンダーガーデン,山本,未着手,2,7月5日,7月7日,
,集客＆ウェビナー配信準備,ZOOM配信準備,バナー画像登録,キンダーガーデン,山本,未着手,1,7月6日,7月7日,
,集客＆ウェビナー配信準備,ZOOM配信準備,パネリスト招待メール設定,キンダーガーデン,山本,未着手,1,7月6日,7月7日,
,集客＆ウェビナー配信準備,ZOOM配信準備,トラッキングピクセル設定,キンダーガーデン,山本,未着手,1,7月6日,7月7日,
,集客＆ウェビナー配信準備,ZOOM配信準備,MA/SFAの設定・メール配信確認（使用ツールに応じて）,キンダーガーデン,山本,未着手,2,7月5日,7月7日,予約送信方法だけ要確認
,集客＆ウェビナー配信準備,集客（メール）,集客メールの配信スケジュール確定,キンダーガーデン,山本,未着手,1,7月7日,7月8日,
,企画準備,登壇者確保,定例MTG調整（しばらくは週2ペース）,SABU,牧野,未着手,1,7月11日,7月12日,タスク進捗確認
,企画準備,社内稟議,集客シミュレーション作成（集客チャネル別）,SABU,片島,未着手,2,7月10日,7月12日,"仮）SABUのCV率0.7%→御社メルマガ集客：14件（ハウスリスト2,000件） 広告経由：136件（CPA 5,000円 68万円）"
,企画準備,社内稟議,全体の広告予算策定,キンダーガーデン,浦濱,未着手,2,7月10日,7月12日,
,集客＆ウェビナー配信準備,集客（広告）,広告バナーのチェック（登壇者）,キンダーガーデン,渡辺,未着手,1,7月11日,7月12日,要確認
,集客＆ウェビナー配信準備,集客（広告）,Facebook入稿,キンダーガーデン,山本,未着手,1,7月11日,7月12日,要確認
,集客＆ウェビナー配信準備,集客（メール）,第1回 集客メール - 送信（公開日）,SABU,片島,未着手,1,7月12日,7月13日,集客16名
,集客＆ウェビナー配信準備,ZOOM配信準備,キンダーガーデン コーポレートサイト掲載,キンダーガーデン,渡辺,未着手,1,7月13日,7月14日,
,コンテンツ企画,対登壇者,登壇者契約書 - 確認依頼,キンダーガーデン,渡辺/山本,未着手,5,7月10日,7月15日,山下先生に本日送付
,集客＆ウェビナー配信準備,集客（メール）,第1回 集客メール - 送信,キンダーガーデン,山本,未着手,1,7月14日,7月15日,告知準備ができたタイミング
,集客＆ウェビナー配信準備,集客（広告）,広告クリエイティブの追加作成,SABU,片島/山本,未着手,2,7月13日,7月15日,山本さんと着手中
,集客＆ウェビナー配信準備,集客（広告）,集客状況報告・チューニング,SABU,片島/山本,未着手,1,7月14日,7月15日,
,開催10日前の準備,作成物,当日リマインドメール - メール文面作成,キンダーガーデン,山本,未着手,1,7月18日,7月19日,SABUから見本提示→山本確認済み
,開催10日前の準備,作成物,参加お礼メール - メール文面作成,キンダーガーデン,山本,未着手,1,7月18日,7月19日,登壇資料見て再度ブラッシュアップ
,開催10日前の準備,作成物,参加お礼メール - Wチェック,キンダーガーデン,笹原/浦濱,未着手,1,7月18日,7月19日,
,開催10日前の準備,IS連携,ウェビナー社内告知,キンダーガーデン,山本,未着手,1,7月18日,7月19日,
,開催10日前の準備,IS連携,ウェビナー翌日のIS稼働 スケジュール確保,キンダーガーデン,山本／笹原,未着手,1,7月18日,7月19日,
,コンテンツ企画,対登壇者,開催日・登壇者確定,キンダーガーデン,,未着手,1,7月18日,7月19日,集客の観点から30日先を推奨
,コンテンツ企画,対登壇者,登壇者が使用するスライドの共有依頼（ない場合は作成依頼）,SABU,牧野/山本,未着手,1,7月18日,7月19日,依頼済みだが、スライド共有はまだ
,コンテンツ企画,対登壇者,アンケート集計結果打ち合わせ前 事前共有（登壇者）,キンダーガーデン,山本,未着手,1,,7月20日,
,コンテンツ企画,対登壇者,契約締結,キンダーガーデン,渡辺/山本,未着手,1,7月19日,7月20日,6/5 山下先生にメール送付済
,集客＆ウェビナー配信準備,集客（メール）,第2回 集客メール - 送信,キンダーガーデン,山本,未着手,1,7月22日,7月23日,
,コンテンツ企画,対登壇者,企画MTG（最終確認） w/ 登壇者（第2回）,キンダーガーデン,山本,未着手,1,7月18日,7月19日,資料・段取りの最終確認、モデレーターとの顔合わせを目的、30分想定
,開催10日前の準備,作成物,ウェビナー資料作成,キンダーガーデン,浦濱,未着手,4,7月17日,7月21日,開催日直前になる可能性あり
,開催10日前の準備,作成物,事前アンケート集計,キンダーガーデン,山本,未着手,3,,7月23日,
,開催10日前の準備,作成物,ウェビナー資料チェック・修正箇所指示,SABU,牧野,未着手,2,7月24日,7月26日,
,集客＆ウェビナー配信準備,集客（メール）,第3回 集客メール - 送信,キンダーガーデン,山本,未着手,1,7月25日,7月26日,
,開催10日前の準備,作成物,ウェビナー資料FIX,両社,-,未着手,1,7月26日,7月27日,
,開催10日前の準備,IS連携,当日のスライド共有,キンダーガーデン,浦濱,未着手,1,7月25日,7月27日,
,開催10日前の準備,作成物,当日進行の台本作成,キンダーガーデン,山本,未着手,2,7月25日,7月27日,
,開催10日前の準備,作成物,当日進行のスライド作成,キンダーガーデン,山本,未着手,2,7月26日,7月27日,
,開催10日前の準備,作成物,ウェビナー後アンケート作成,キンダーガーデン,山本,未着手,2,7月25日,7月27日,
,開催10日前の準備,作成物,ウェビナー回答テスト,キンダーガーデン,山本,未着手,1,7月26日,7月27日,
,開催10日前の準備,作成物,アンケートをスプレッドシートに紐付け,キンダーガーデン,山本,未着手,1,7月26日,7月27日,
,開催10日前の準備,作成物,アンケートの回答通知機能設定,キンダーガーデン,山本,未着手,1,7月26日,7月27日,
,開催10日前の準備,作成物,ZOOMへのアンケート紐付け,キンダーガーデン,山本,未着手,1,7月26日,7月27日,
,開催10日前の準備,作成物,アンケート特典準備,キンダーガーデン,山本,未着手,1,7月26日,7月27日,
,開催10日前の準備,作成物,当日用チャット文面準備,キンダーガーデン,山本,未着手,1,7月26日,7月27日,
,開催10日前の準備,作成物,個別相談特典準備,キンダーガーデン,山本,未着手,1,7月26日,7月27日,
,開催10日前の準備,作成物,サクラ質問作成,キンダーガーデン,山本,未着手,1,7月26日,7月27日,当日質問が来ない場合に備えて運営側で5つほど準備
,集客＆ウェビナー配信準備,集客（メール）,第4回 集客メール - 送信,キンダーガーデン,山本,未着手,1,7月27日,7月28日,前日
,集客＆ウェビナー配信準備,集客（メール）,第2回 集客メール - 送信（前日）,SABU,森,未着手,1,7月27日,7月28日,
,開催前日〆,前日処理,前日登壇者連絡,キンダーガーデン,山本,未着手,1,7月27日,7月28日,登壇者に「明日よろしくお願いいたします」のメールを送信
,集客＆ウェビナー配信準備,ZOOM配信準備,配信リハーサル実施,キンダーガーデン,山本,未着手,1,7月28日,7月29日,開催当日の数時間前予定
,集客＆ウェビナー配信準備,集客（メール）,第5回 集客メール - 送信,キンダーガーデン,山本,未着手,1,7月28日,7月29日,当日
,集客＆ウェビナー配信準備,集客（メール）,第3回 集客メール - 送信（当日）,SABU,森,未着手,1,7月28日,7月29日,
,開催前日〆,前日処理,Zoom設定最終チェック,キンダーガーデン,山本,未着手,1,7月28日,7月29日,生配信できる設定になっているか確認
